Journal of Statistical Software:  ['Software', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
Molecular Systems Biology:  ['Agricultural and Biological Sciences (miscellaneous)', 'Applied Mathematics', 'Biochemistry, Genetics and Molecular Biology (miscellaneous)', 'Computational Theory and Mathematics', 'Immunology and Microbiology (miscellaneous) ', 'Information Systems', 'Medicine (miscellaneous)']
Bioinformatics:  ['Biochemistry', 'Computational Mathematics', 'Computational Theory and Mathematics', 'Computer Science Applications', 'Molecular Biology', 'Statistics and Probability']
Journal of Operations Management:  ['Computer Science Applications', 'Industrial and Manufacturing Engineering', 'Management Science and Operations Research', 'Strategy and Management']
Wiley Interdisciplinary Reviews: Computational Molecular Science:  ['Biochemistry', 'Computational Mathematics', 'Computer Science Applications', 'Materials Chemistry', 'Physical and Theoretical Chemistry']
Journal of Service Research:  ['Information Systems', 'Organizational Behavior and Human Resource Management', 'Sociology and Political Science']
MIS Quarterly: Management Information Systems:  ['Computer Science Applications', 'Information Systems', 'Information Systems and Management', 'Management Information Systems']
GigaScience:  ['Computer Science Applications', 'Health Informatics']
Journal of Supply Chain Management:  ['Economics, Econometrics and Finance (miscellaneous)', 'Information Systems', 'Management Information Systems', 'Marketing']
IEEE Transactions on Fuzzy Systems:  ['Applied Mathematics', 'Artificial Intelligence', 'Computational Theory and Mathematics', 'Control and Systems Engineering']
npj Computational Materials:  ['Computer Science Applications', 'Materials Science (miscellaneous)', 'Mechanics of Materials', 'Modeling and Simulation']
SoftwareX:  ['Computer Science Applications', 'Software']
npj Quantum Information:  ['Computational Theory and Mathematics', 'Computer Networks and Communications', 'Computer Science (miscellaneous)', 'Statistical and Nonlinear Physics']
IEEE Transactions on Evolutionary Computation:  ['Computational Theory and Mathematics', 'Software', 'Theoretical Computer Science']
IEEE Transactions on Automatic Control:  ['Computer Science Applications', 'Control and Systems Engineering', 'Electrical and Electronic Engineering']
IEEE Transactions on Neural Networks and Learning Systems:  ['Artificial Intelligence', 'Computer Networks and Communications', 'Computer Science Applications', 'Software']
Internet and Higher Education:  ['Computer Networks and Communications', 'Computer Science Applications', 'Education', 'E-learning']
IEEE Transactions on Cybernetics:  ['Computer Science Applications', 'Control and Systems Engineering', 'Electrical and Electronic Engineering', 'Human-Computer Interaction', 'Information Systems', 'Software']
mSystems:  ['Biochemistry', 'Computer Science Applications', 'Ecology, Evolution, Behavior and Systematics', 'Genetics', 'Microbiology', 'Modeling and Simulation', 'Molecular Biology', 'Physiology']
ISPRS Journal of Photogrammetry and Remote Sensing:  ['Atomic and Molecular Physics, and Optics', 'Computer Science Applications', 'Computers in Earth Sciences', 'Engineering (miscellaneous)', 'Geography, Planning and Development']
Information Systems Research:  ['Computer Networks and Communications', 'Information Systems', 'Information Systems and Management', 'Library and Information Sciences', 'Management Information Systems']
PLoS Computational Biology:  ['Cellular and Molecular Neuroscience', 'Computational Theory and Mathematics', 'Ecology', 'Ecology, Evolution, Behavior and Systematics', 'Genetics', 'Modeling and Simulation', 'Molecular Biology']
Scientific data:  ['Computer Science Applications', 'Education', 'Information Systems', 'Library and Information Sciences', 'Statistics and Probability', 'Statistics, Probability and Uncertainty']
Journal of Computer-Mediated Communication:  ['Computer Networks and Communications', 'Computer Science Applications']
Operations Research:  ['Computer Science Applications', 'Management Science and Operations Research']
Computer Methods in Applied Mechanics and Engineering:  ['Computational Mechanics', 'Computer Science Applications', 'Mechanical Engineering', 'Mechanics of Materials', 'Physics and Astronomy (miscellaneous)']
IEEE Transactions on Smart Grid:  ['Computer Science (miscellaneous)']
Foundations and Trends in Communications and Information Theory:  ['Applied Mathematics', 'Computer Networks and Communications']
IEEE Transactions on Control of Network Systems:  ['Computer Networks and Communications', 'Control and Optimization', 'Control and Systems Engineering', 'Signal Processing']
ReCALL:  ['Computer Science Applications', 'Education', 'Language and Linguistics', 'Linguistics and Language']
Physics of Life Reviews:  ['Agricultural and Biological Sciences (miscellaneous)', 'Artificial Intelligence', 'Physics and Astronomy (miscellaneous)']
Cognitive Psychology:  ['Artificial Intelligence', 'Developmental and Educational Psychology', 'Experimental and Cognitive Psychology', 'Linguistics and Language', 'Neuropsychology and Physiological Psychology']
Computers and Education:  ['Computer Science (miscellaneous)', 'Education', 'E-learning']
Foundations and Trends in Computer Graphics and Vision:  ['Computer Vision and Pattern Recognition']
Statistics and Computing:  ['Computational Theory and Mathematics', 'Statistics and Probability', 'Statistics, Probability and Uncertainty', 'Theoretical Computer Science']
Briefings in Bioinformatics:  ['Information Systems', 'Molecular Biology']
Soft Robotics:  ['Artificial Intelligence', 'Biophysics', 'Control and Systems Engineering']
Journal of Chemical Theory and Computation:  ['Computer Science Applications', 'Physical and Theoretical Chemistry']
Mathematical Programming, Series B:  ['Mathematics (miscellaneous)', 'Software']
Journal of Management Information Systems:  ['Computer Science Applications', 'Information Systems and Management', 'Management Information Systems', 'Management Science and Operations Research']
International Journal of Robotics Research:  ['Applied Mathematics', 'Artificial Intelligence', 'Electrical and Electronic Engineering', 'Mechanical Engineering', 'Modeling and Simulation', 'Software']
Frontiers in Neuroinformatics:  ['Biomedical Engineering', 'Computer Science Applications', 'Neuroscience (miscellaneous)']
IEEE Transactions on Pattern Analysis and Machine Intelligence:  ['Applied Mathematics', 'Artificial Intelligence', 'Computational Theory and Mathematics', 'Computer Vision and Pattern Recognition', 'Software']
Neural Networks:  ['Artificial Intelligence', 'Cognitive Neuroscience']
International Journal of Computer Vision:  ['Artificial Intelligence', 'Computer Vision and Pattern Recognition', 'Software']
IEEE Communications Magazine:  ['Computer Networks and Communications', 'Computer Science Applications', 'Electrical and Electronic Engineering']
